monthly_rent,deposit,locality,bhk,size_sqft,furnishing_status,preferred_tenant,bathrooms,floor_number,total_floors,amenities_count,source
28713.0,72640.0,Anna Nagar,3,1129,Furnished,Bachelors,3,0.0,6,7.0,MagicBricks
16191.0,70190.0,Sholinganallur,2,880,Semi-Furnished,Bachelors,2,,8,5.0,99acres
24197.0,,OMR,3,1216,Semi-Furnished,Both,3,2.0,6,7.0,99acres
21436.0,102543.0,Adyar,3,1457,Semi-Furnished,Family,3,4.0,8,7.0,99acres
18899.0,52808.0,Sholinganallur,3,1320,Semi-Furnished,Both,3,7.0,8,6.0,NoBroker
29963.0,94105.0,Nungambakkam,4,1381,Furnished,Family,4,1.0,4,4.0,MagicBricks
15270.0,60802.0,Mogappair,3,1332,Semi-Furnished,Family,3,0.0,6,7.0,NoBroker
13861.0,66845.0,Medavakkam,2,1131,Unfurnished,Family,2,1.0,6,6.0,MagicBricks
16308.0,34300.0,Navalur,3,1287,Semi-Furnished,Bachelors,3,3.0,8,9.0,Housing.com
37840.0,177854.0,Adyar,3,1487,Semi-Furnished,Family,3,4.0,6,6.0,99acres
12600.0,44446.0,OMR,1,618,Semi-Furnished,Bachelors,1,2.0,6,5.0,NoBroker
19626.0,83295.0,OMR,3,1442,Semi-Furnished,Bachelors,3,,12,9.0,Housing.com
22637.0,64578.0,Navalur,3,1733,Unfurnished,Both,3,0.0,4,8.0,MagicBricks
19960.0,43314.0,Perungudi,2,935,Semi-Furnished,Bachelors,2,3.0,6,10.0,99acres
15781.0,43434.0,Anna Nagar,2,908,Semi-Furnished,Family,2,7.0,12,,99acres
35105.0,78871.0,Perungudi,4,1925,Semi-Furnished,Bachelors,4,2.0,4,8.0,MagicBricks
7019.0,28867.0,Tambaram,2,688,Unfurnished,Family,2,5.0,12,9.0,99acres
13223.0,39371.0,Ambattur,3,1314,Semi-Furnished,Family,3,4.0,6,3.0,Housing.com
30699.0,114034.0,T Nagar,2,973,Semi-Furnished,Both,1,3.0,12,4.0,MagicBricks
36053.0,99884.0,Perungudi,3,1603,Unfurnished,Family,3,1.0,4,8.0,NoBroker
8203.0,16919.0,Tambaram,3,1107,Furnished,Family,3,11.0,16,3.0,99acres
10525.0,29025.0,Chromepet,3,1250,Furnished,Family,2,3.0,8,11.0,Housing.com
29270.0,124750.0,Perungudi,3,1649,Semi-Furnished,Bachelors,3,9.0,12,10.0,MagicBricks
7896.0,34707.0,OMR,1,655,Semi-Furnished,Family,1,5.0,6,8.0,MagicBricks
7956.0,24764.0,Pallikaranai,1,625,Semi-Furnished,Both,1,3.0,12,4.0,MagicBricks
12384.0,27374.0,Sholinganallur,2,906,Unfurnished,Both,1,2.0,12,6.0,NoBroker
11309.0,23164.0,Porur,2,864,Semi-Furnished,Family,1,6.0,8,11.0,NoBroker
15288.0,58828.0,Pallikaranai,3,1281,Furnished,Bachelors,2,6.0,12,6.0,99acres
20347.0,88259.0,Adyar,2,826,Semi-Furnished,Bachelors,2,12.0,12,9.0,99acres
32246.0,159268.0,Anna Nagar,4,1611,Semi-Furnished,Family,4,5.0,6,11.0,MagicBricks
9753.0,42881.0,Tambaram,2,1091,Semi-Furnished,Family,2,0.0,6,8.0,99acres
23606.0,80016.0,Sholinganallur,3,1295,Unfurnished,Family,3,8.0,8,11.0,99acres
12934.0,33013.0,Medavakkam,2,1015,Semi-Furnished,Bachelors,2,2.0,6,5.0,MagicBricks
17635.0,77310.0,Navalur,3,1119,Semi-Furnished,Family,3,2.0,2,3.0,99acres
23155.0,49218.0,Medavakkam,3,1717,Unfurnished,Family,2,9.0,12,6.0,99acres
13161.0,49311.0,Pallikaranai,2,993,Furnished,Bachelors,1,0.0,4,4.0,Housing.com
7468.0,29767.0,Ambattur,2,838,Semi-Furnished,Family,2,0.0,4,5.0,99acres
37504.0,153794.0,Velachery,3,1431,Unfurnished,Family,3,10.0,12,3.0,MagicBricks
19600.0,75632.0,Sholinganallur,3,1399,Semi-Furnished,Bachelors,3,0.0,6,,MagicBricks
7178.0,33995.0,Pallikaranai,1,576,Semi-Furnished,Bachelors,1,1.0,8,5.0,MagicBricks
27283.0,116708.0,Perungudi,3,1488,Semi-Furnished,Both,3,4.0,4,6.0,NoBroker
16874.0,48315.0,Mogappair,2,1134,Furnished,Bachelors,2,6.0,8,2.0,99acres
10665.0,26394.0,Sholinganallur,1,494,Semi-Furnished,Both,1,7.0,8,8.0,Housing.com
24644.0,121023.0,Porur,3,1364,Furnished,Both,2,6.0,6,10.0,NoBroker
12127.0,34638.0,Ambattur,2,1066,Furnished,Both,2,7.0,8,11.0,99acres
17124.0,67047.0,Chromepet,4,2140,Semi-Furnished,Family,4,12.0,12,6.0,MagicBricks
32092.0,122620.0,Adyar,3,1481,Furnished,Bachelors,3,7.0,8,7.0,99acres
5000.0,19866.0,Chromepet,1,486,Unfurnished,Family,1,0.0,12,4.0,NoBroker
23578.0,79416.0,Nungambakkam,2,988,Furnished,Both,2,4.0,6,6.0,MagicBricks
16425.0,55129.0,Sholinganallur,2,789,Semi-Furnished,Family,2,11.0,12,11.0,MagicBricks
7283.0,19626.0,Navalur,1,512,Semi-Furnished,Bachelors,1,0.0,8,3.0,Housing.com
21174.0,,Navalur,3,1374,Furnished,Bachelors,3,4.0,12,6.0,Housing.com
20774.0,50042.0,Anna Nagar,2,961,Unfurnished,Family,2,,4,4.0,MagicBricks
7957.0,17137.0,Chromepet,2,851,Semi-Furnished,Family,2,1.0,4,5.0,NoBroker
37756.0,157461.0,OMR,4,1836,Furnished,Both,3,0.0,8,10.0,99acres
17980.0,88020.0,Thoraipakkam,3,1254,,Family,2,3.0,6,5.0,99acres
20291.0,52175.0,ECR,3,1489,Furnished,Bachelors,3,3.0,4,5.0,MagicBricks
20821.0,103657.0,ECR,3,1125,,Family,3,3.0,8,8.0,MagicBricks
8211.0,25859.0,Navalur,1,599,Unfurnished,Both,1,0.0,8,11.0,NoBroker
6657.0,17204.0,Ambattur,2,836,Furnished,Both,2,1.0,12,7.0,NoBroker
5000.0,15850.0,Tambaram,1,581,Semi-Furnished,Family,1,0.0,16,10.0,MagicBricks
18543.0,69881.0,Thoraipakkam,3,1217,Unfurnished,Family,3,1.0,6,3.0,Housing.com
15847.0,49813.0,Navalur,3,1242,Semi-Furnished,Family,3,,6,6.0,99acres
26300.0,108449.0,Thoraipakkam,3,1402,Semi-Furnished,Family,3,16.0,16,7.0,99acres
12864.0,61251.0,Sholinganallur,2,896,Semi-Furnished,Bachelors,2,,12,4.0,MagicBricks
18931.0,38468.0,Velachery,3,1104,Unfurnished,Family,3,5.0,6,2.0,99acres
12750.0,46837.0,Tambaram,3,1255,Unfurnished,Family,3,0.0,4,2.0,NoBroker
10365.0,37097.0,Adyar,1,541,Furnished,Bachelors,1,6.0,8,3.0,99acres
15013.0,51601.0,Medavakkam,3,1244,Semi-Furnished,Family,3,3.0,8,3.0,NoBroker
39804.0,143761.0,Adyar,3,1584,Semi-Furnished,Bachelors,3,2.0,12,10.0,99acres
23698.0,92447.0,Medavakkam,4,1791,Unfurnished,Both,4,8.0,8,10.0,NoBroker
12053.0,48100.0,Thoraipakkam,2,895,Semi-Furnished,Family,2,0.0,4,4.0,NoBroker
5423.0,17696.0,Tambaram,2,984,Semi-Furnished,Both,2,10.0,12,6.0,MagicBricks
16142.0,39124.0,Sholinganallur,2,854,Furnished,Bachelors,2,5.0,12,4.0,99acres
7744.0,30391.0,Kolathur,2,844,Unfurnished,Bachelors,2,0.0,2,4.0,99acres
26690.0,92267.0,Nungambakkam,2,1002,Semi-Furnished,Family,2,4.0,6,7.0,99acres
13505.0,60827.0,OMR,2,760,Semi-Furnished,Family,2,3.0,4,7.0,MagicBricks
12814.0,38343.0,Medavakkam,2,918,Furnished,Both,1,0.0,12,4.0,Housing.com
7134.0,16064.0,Mogappair,1,519,Furnished,Bachelors,1,2.0,8,6.0,MagicBricks
11414.0,30599.0,Sholinganallur,2,821,Semi-Furnished,Bachelors,2,,8,2.0,NoBroker
28119.0,92478.0,OMR,3,1442,Semi-Furnished,Both,3,1.0,6,3.0,99acres
16948.0,61875.0,OMR,2,1009,Unfurnished,Bachelors,2,0.0,8,4.0,99acres
31687.0,127557.0,Sholinganallur,3,1520,Semi-Furnished,Family,3,4.0,6,5.0,MagicBricks
6337.0,16426.0,Tambaram,1,606,Furnished,Bachelors,1,7.0,8,2.0,MagicBricks
14478.0,54504.0,Navalur,2,841,Unfurnished,Both,2,,4,8.0,MagicBricks
29097.0,140422.0,Velachery,3,1208,Semi-Furnished,Family,2,3.0,16,4.0,99acres
26373.0,116325.0,OMR,3,1455,Furnished,Bachelors,3,0.0,2,10.0,99acres
11118.0,39953.0,ECR,2,873,Semi-Furnished,Family,2,3.0,4,2.0,Housing.com
23708.0,95173.0,Sholinganallur,3,1160,Unfurnished,Bachelors,3,2.0,6,7.0,NoBroker
34631.0,100694.0,Perungudi,3,1510,Unfurnished,Family,3,2.0,4,2.0,NoBroker
30699.0,114034.0,T Nagar,2,973,Semi-Furnished,Both,1,3.0,12,4.0,MagicBricks
5565.0,26755.0,Chromepet,1,586,Unfurnished,Family,1,2.0,6,9.0,99acres
16134.0,76734.0,Medavakkam,3,1291,Unfurnished,Bachelors,3,3.0,6,9.0,99acres
7322.0,21622.0,Thoraipakkam,1,479,Semi-Furnished,Family,1,3.0,6,2.0,NoBroker
20093.0,67318.0,Medavakkam,3,1538,Semi-Furnished,Bachelors,2,3.0,6,3.0,MagicBricks
31274.0,65075.0,Adyar,3,1314,Furnished,Bachelors,2,3.0,8,4.0,MagicBricks
11046.0,33178.0,Pallikaranai,2,930,Furnished,Family,1,4.0,16,6.0,99acres
13825.0,39917.0,Navalur,2,896,Semi-Furnished,Bachelors,2,7.0,12,11.0,NoBroker
12797.0,26507.0,Ambattur,3,1336,Unfurnished,Both,3,1.0,4,8.0,NoBroker
11175.0,50362.0,Mogappair,2,928,Unfurnished,Family,2,5.0,12,10.0,NoBroker
5881.0,15038.0,Medavakkam,1,522,Furnished,Both,1,2.0,8,4.0,NoBroker
26710.0,56447.0,Anna Nagar,3,1320,Unfurnished,Bachelors,3,3.0,6,7.0,99acres
31269.0,138920.0,Velachery,3,1481,Semi-Furnished,,2,12.0,16,4.0,99acres
13112.0,56736.0,OMR,2,835,Semi-Furnished,Both,2,6.0,8,10.0,99acres
32740.0,160620.0,Medavakkam,4,2223,Semi-Furnished,Bachelors,4,4.0,8,9.0,99acres
13685.0,27399.0,Porur,2,899,Furnished,Family,2,0.0,12,9.0,MagicBricks
15932.0,59277.0,Pallikaranai,3,1562,Semi-Furnished,Bachelors,3,3.0,8,9.0,99acres
18999.0,42500.0,Sholinganallur,2,990,Semi-Furnished,Both,2,0.0,2,5.0,99acres
8940.0,26194.0,Ambattur,2,831,Unfurnished,Family,2,4.0,8,7.0,Housing.com
17539.0,58629.0,Adyar,3,987,Semi-Furnished,Bachelors,3,4.0,8,3.0,99acres
13448.0,34591.0,Sholinganallur,2,827,Furnished,Family,2,3.0,4,4.0,MagicBricks
17804.0,75763.0,Thoraipakkam,2,1086,Furnished,Family,2,,6,8.0,Housing.com
46626.0,208138.0,Anna Nagar,4,2096,Furnished,Family,4,16.0,16,6.0,NoBroker
30659.0,97758.0,ECR,4,1681,Semi-Furnished,Bachelors,4,6.0,6,9.0,NoBroker
27964.0,99151.0,Anna Nagar,3,1155,Semi-Furnished,Both,3,3.0,6,5.0,NoBroker
12898.0,46903.0,Mogappair,3,1311,Semi-Furnished,Bachelors,3,3.0,6,8.0,MagicBricks
10322.0,38044.0,Guindy,1,511,Furnished,Family,1,,8,2.0,99acres
19419.0,69888.0,OMR,3,1139,Semi-Furnished,Both,3,1.0,4,3.0,MagicBricks
21675.0,94354.0,T Nagar,2,936,Semi-Furnished,Family,2,3.0,6,9.0,NoBroker
16640.0,37782.0,Porur,3,1123,Semi-Furnished,Both,3,0.0,6,3.0,MagicBricks
13991.0,32968.0,Porur,2,1045,Semi-Furnished,Both,2,,8,6.0,NoBroker
9636.0,44011.0,Kolathur,2,1005,Semi-Furnished,Both,2,3.0,8,9.0,MagicBricks
32352.0,129672.0,Guindy,3,1552,Furnished,Bachelors,3,2.0,2,4.0,MagicBricks
37342.0,176750.0,Anna Nagar,4,1958,Furnished,Bachelors,4,0.0,6,6.0,99acres
29185.0,109717.0,Anna Nagar,2,1027,,Family,2,4.0,4,5.0,99acres
15389.0,52544.0,Guindy,2,883,Semi-Furnished,Family,2,,4,11.0,MagicBricks
10747.0,36978.0,Porur,2,961,Semi-Furnished,Both,1,12.0,12,11.0,99acres
34407.0,112380.0,Adyar,3,1311,Furnished,Family,3,1.0,4,2.0,Housing.com
21079.0,90718.0,Sholinganallur,2,982,Unfurnished,Both,2,8.0,8,11.0,MagicBricks
23975.0,107010.0,Sholinganallur,3,1499,Semi-Furnished,Both,3,0.0,6,4.0,99acres
19736.0,46055.0,OMR,3,1204,Furnished,Family,2,0.0,8,4.0,MagicBricks
12678.0,61397.0,Guindy,2,754,Unfurnished,Family,2,1.0,8,7.0,99acres
8673.0,29402.0,Porur,1,613,Furnished,Both,1,2.0,8,10.0,99acres
14175.0,30597.0,OMR,2,791,Unfurnished,Family,2,5.0,6,5.0,Housing.com
24472.0,60140.0,Porur,3,1675,Semi-Furnished,Bachelors,3,5.0,6,9.0,99acres
16857.0,82372.0,Sholinganallur,2,1047,Semi-Furnished,Both,2,4.0,6,5.0,99acres
12293.0,50832.0,Nungambakkam,1,495,Furnished,Both,1,6.0,8,7.0,MagicBricks
