property_price,locality,bhk,built_up_area,super_built_up_area,carpet_area,price_per_sqft,bathrooms,balconies,floor_number,total_floors,property_age,furnishing_status,parking,facing,amenities_count,possession_status,builder_name,source
7354464.0,OMR,2,986,1133,788,7459.0,2,1.0,8.0,8,1.0,Semi-Furnished,0.0,North-West,10.0,Ready to Move,TVH,99acres
8613681.0,ECR,2,888,1021,710,9700.0,2,1.0,1.0,6,7.0,Unfurnished,1.0,South,11.0,Under Construction,Mahindra,99acres
9682104.0,Sholinganallur,2,1113,1279,890,8699.0,2,1.0,5.0,8,0.0,Semi-Furnished,2.0,North,7.0,Ready to Move,TVH,MagicBricks
8341248.0,Perungudi,2,1098,1262,878,7597.0,2,1.0,1.0,6,5.0,Semi-Furnished,2.0,North,7.0,Ready to Move,Appaswamy,99acres
7664475.0,Sholinganallur,2,1086,1248,868,7058.0,2,1.0,11.0,12,2.4,Unfurnished,2.0,South-West,10.0,Ready to Move,Appaswamy,99acres
6164904.0,Navalur,2,801,921,640,7697.0,2,1.0,3.0,16,5.0,Semi-Furnished,1.0,North,11.0,Ready to Move,Mahindra,99acres
10506230.0,Velachery,3,1267,1457,1013,8292.0,3,1.0,3.0,6,6.0,Semi-Furnished,1.0,South-West,10.0,Ready to Move,Doshi,Housing.com
3320258.0,Medavakkam,1,585,672,468,5676.0,1,2.0,12.0,12,2.0,Unfurnished,1.0,West,10.0,Ready to Move,Pacifica,99acres
7511789.0,Tambaram,3,1347,1549,1077,5577.0,3,1.0,4.0,8,0.0,Semi-Furnished,0.0,South-East,7.0,Under Construction,Olympia,99acres
4029509.0,OMR,1,518,595,414,7779.0,1,2.0,4.0,4,6.0,Semi-Furnished,2.0,West,2.0,Ready to Move,Casa Grande,99acres
8486722.0,Sholinganallur,2,1078,1239,862,7873.0,2,1.0,2.0,4,2.0,Semi-Furnished,2.0,East,7.0,Ready to Move,Pacifica,Housing.com
11993491.0,Adyar,2,1199,1378,959,10003.0,2,2.0,11.0,16,8.0,Furnished,1.0,South,3.0,Ready to Move,Pacifica,MagicBricks
7553712.0,Sholinganallur,2,847,974,677,8918.0,2,0.0,5.0,8,9.0,Semi-Furnished,1.0,South-West,6.0,Ready to Move,Pacifica,99acres
10218997.0,Mogappair,3,1555,1788,1244,6572.0,3,1.0,1.0,8,10.0,Semi-Furnished,1.0,South-West,9.0,Ready to Move,Doshi,MagicBricks
7750039.0,Porur,2,1064,1223,851,7284.0,2,1.0,10.0,16,2.0,Unfurnished,1.0,North,5.8,Ready to Move,Pacifica,99acres
15440022.0,Velachery,4,1732,1991,1385,8915.0,4,1.0,9.0,12,0.0,Unfurnished,2.0,South,3.0,Under Construction,Olympia,Housing.com
7151999.0,Velachery,2,844,970,675,8474.0,2,0.0,5.0,12,6.0,Semi-Furnished,1.0,West,10.0,Ready to Move,Casa Grande,Housing.com
8058409.0,OMR,2,1104,1269,883,7299.0,2,1.0,2.0,8,4.0,Semi-Furnished,2.0,West,6.0,Under Construction,Olympia,MagicBricks
7720286.0,Pallikaranai,3,1394,1603,1115,5538.0,3,1.0,5.0,8,0.0,Furnished,1.0,West,5.0,Ready to Move,Ramaniyam,99acres
20923255.0,Adyar,3,1672,1922,1337,12514.0,3,0.0,3.0,12,4.0,Semi-Furnished,1.0,East,3.0,Ready to Move,Pacifica,MagicBricks
